ArticleId,Text,Category
1,rebuilding future depends bank respond crisis jonathan alles,business
2,emirate resume colombo male flight st september,business
3,lolc reclaims crown valuable stock,business
4,cse total market turnover hit r billion within first eight month,business
5,sunshine holding drive business value transformation microsoft cloud service,business
6,expolanka record per cent price appreciation,business
7,combank becomes biggest lender sme sector among bank,business
8,sri lanka export surpass u billion mark july,business
9,laugfs gas still quest achieve equilibrium price,business
10,sampath bank introduces sl first touchless cash withdrawal across atm network,business
11,insee cement running full production capacity meet local demand,business
12,capital market donation drive provides covid related medical equipment hospital,business
13,sri lanka purchasing manager index july,business
14,orient finance continues growth momentum th anniversary year,business
15,cse recovers shaky start reap turnover r billion,business
16,buy meal launched support tourism hospitality industry,business
17,dhammika perera enters commercial bank top shareholder list,business
18,sri lanka take global market lead value added tea export report,business
19,fly emirate dubai visit world one place complimentary expo pas,business
20,hayleys purchase million share unisyst engineering,business
21,abans demonstrates outstanding performance q fy pbt r bn,business
22,baby cheramy launch new herbal cologne infused natural extract kohomba sandalwood,business
23,bajaj genuine part genuine oil online,business
24,prime land amber skye negombo close sale le day,business
25,cocacola clock year sri lanka,business
26,dfcc bank national longterm rating affirmed fitch rating alka,business
27,notable buying interest cse,business
28,combank notch rd r trillion mark balance sheet dynamic q,business
29,panic selling foreign investor cse,business
30,airtel g revolutionises telecom industry firstofitskind freedom pack,business
31,samsung launch bingemonster galaxy segmentbest display sri lanka,business
32,young entrepreneur find worth plastic waste,business
33,dialog enterprise partner mihcm launch mihcm lite small medium business,business
34,land valuation indicator first half,business
35,realme sell million handset globally three year,business
36,leasing loan facility acquiring registered vehicle assetline,business
37,cruise ship call hambantota port bunkering,business
38,teejay lanka month group revenue r billion,business
39,china export growth slows global risk cloud outlook,business
40,swiss expert together baurs design scientific plan viable organic agroecosystem,business
41,global sysco lab expert offer insight enterprise mobile development,business
42,jetwing mmbl pathfinder premier houseboat joint venture,business
43,oppo unveils next generation underscreen camera technology delivering immersive full screen experience,business
44,hnb upgrade solo robust bill payment biometric feature,business
45,sunquick lanka great place work certified,business
46,softlogic life lauded among asia best workplace,business
47,assetline leasing recognised slim people award,business
48,airport aviation service ramp digital transformation ifs,business
49,real question whether sl go imf verit research,business
50,pan asia bank impressive performance,business
51,global technology company hcl take office cinnamon life sri lanka hub,business
52,cse index rise turnover hit r billion,business
53,aqua dynamic named among best workplace asia,business
54,seylan bank launch stateoftheart data centre colombo,business
55,armx mark international security officer day,business
56,abha herbal black henna introduces new ecofriendly packaging,business
57,vallibel finance profit soared june quarter new loan,business
58,john keells property welcome new resident suite cinnamon life,business
59,debottlenecking strained supply chain covid pandemic beyond,business
60,sltmobitel launch first ever fullymanaged true sd wan service embracing intent based networking approach enterprise customer,business
61,people leasings r billion three five year debenture oversubscribed,business
62,standard chartered sri lanka certified great place work third consecutive year,business
63,hsbc sri lanka win three international award,business
64,sdb bank geared lkr billion spo,business
65,sri lanka tourism introduces elearning platform sltda registered tourist guide,business
66,automobile component manufacturer surpass employment appointment western province slacma,business
67,top real estate developer identified new riu brand heath survey,business
68,bogala graphite ambean holding make presence felt cse,business
69,piramal glass report quarterly turnover growth,business
70,sltmobitel launch sd wan service enterprise customer,business
71,sampath bank introduces helpline business startup advisory service,business
72,john keells hotel expects pentup demand travel tourism travel restriction removed,business
73,power capital mark th anniversary,business
